oraciones,tiempo_preprocesado,puntaje_positivo,puntaje_negativo,tiempo_lexico,pos_bajo,pos_medio,pos_alto,neg_bajo,neg_medio,neg_alto,tiempo_fuzzi,sentimiento_final,Tiempo_Base_reglas,clase_sentimiento,tiempo_defuzzificacion
lebron is a beast but i m still cheering the a til the end,0.000446081161499,1.0,0.0,0.0001814365386962,0.0,0.0,1.0,0.0,0.0,0.0,0.0001935958862304,8.333333333333334,0.0001013278961181,Positivo,2.384185791015625e-07
lebron is the boss,0.0002930164337158,0.0,0.0,7.367134094238281e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0001730918884277,8.333333333333334,9.894371032714844e-05,Positivo,2.384185791015625e-07
lebron is a hometown hero to me laughing out loud i love the lakers but letis go cavs laughing out loud,0.0006024837493896,1.0,0.0,0.0004305839538574,0.0,0.0,1.0,0.0,0.0,0.0,0.0001921653747558,8.333333333333334,0.0001165866851806,Positivo,2.384185791015625e-07
lebron and zydrunas are such an awesome duo,0.0003714561462402,1.0,0.0,0.000246524810791,0.0,0.0,1.0,0.0,0.0,0.0,0.0001766681671142,8.333333333333334,9.846687316894533e-05,Positivo,0.0
lebron is a beast nobody in the nba comes even close,0.0004124641418457,0.0,0.0,0.0001888275146484,0.0,0.0,0.0,0.0,0.0,0.0,0.0001864433288574,8.333333333333334,9.894371032714844e-05,Positivo,0.0
downloading apps for my iphone so much fun there literally is an app for just about anything,0.0005466938018798,1.0,0.0,0.0002837181091308,0.0,0.0,1.0,0.0,0.0,0.0,0.0001697540283203,8.333333333333334,9.632110595703124e-05,Positivo,0.0
good news just had a call from the visa office saying everything is fine what a relief i am sick of scams out there stealing,0.0006628036499023,0.195754306594745,0.8042456934052549,0.0003907680511474,0.60849138681051,0.39150861318949,0.0,0.0,0.3915086131894902,0.6084913868105097,0.0001945495605468,4.093706910892108,0.0043129920959472,Neutral,0.0
awesome come back from via,0.0003023147583007,1.0,0.0,0.0001013278961181,0.0,0.0,1.0,0.0,0.0,0.0,0.0001728534698486,8.333333333333334,0.0001118183135986,Positivo,0.0
in montreal for a long weekend of r amp r much needed,0.0004165172576904,0.0,0.0,0.0001399517059326,0.0,0.0,0.0,0.0,0.0,0.0,0.0001826286315917,8.333333333333334,0.0001013278961181,Positivo,2.384185791015625e-07
booz allen hamilton has a bad ass homegrown social collaboration platform way cool ttiv,0.000514268875122,1.0,0.0,0.0002498626708984,0.0,0.0,1.0,0.0,0.0,0.0,0.0001957416534423,8.333333333333334,9.894371032714844e-05,Positivo,2.384185791015625e-07
mluc customer innovation award winner booz allen hamilton,0.0004043579101562,1.0,0.0,0.000190258026123,0.0,0.0,1.0,0.0,0.0,0.0,0.0002393722534179,8.333333333333334,9.846687316894533e-05,Positivo,2.384185791015625e-07
i current use the nikon d and love it but not as much as the canon d d i chose the d for the video feature my mistake,0.0006468296051025,0.2885714285714286,0.7114285714285715,0.0003054141998291,0.4228571428571428,0.5771428571428572,0.0,0.0,0.577142857142857,0.422857142857143,0.00018310546875,4.573946462017756,0.0039000511169433,Neutral,2.384185791015625e-07
google is always a good place to look should ve mentioned i worked on the mustang w my dad,0.0005388259887695,1.0,0.0,0.0002601146697998,0.0,0.0,1.0,0.0,0.0,0.0,0.0001890659332275,8.333333333333334,0.0001113414764404,Positivo,4.76837158203125e-07
played with an android google phone the slide out screen scares me i would break that fucker so fast still prefer my iphone,0.0006399154663085,0.0874845615479621,0.912515438452038,0.0003659725189208,0.8250308769040758,0.1749691230959242,0.0,0.0,0.174969123095924,0.825030876904076,0.0001821517944335,3.133908397873162,0.003896951675415,Negativo,0.0
us planning to resume the military tribunals at guantanamo bay only this time those on trial will be aig execs and chrysler debt holders,0.0006852149963378,0.0,1.0,0.0003588199615478,0.0,0.0,0.0,0.0,0.0,1.0,0.0002329349517822,1.6666666666666663,0.0001158714294433,Negativo,0.0
oh my god so bored amp my tattoos are so itchy help aha,0.0004358291625976,0.403852127990059,0.596147872009941,0.0002346038818359,0.192295744019882,0.807704255980118,0.0,0.0,0.807704255980118,0.192295744019882,0.0002422332763671,4.908640531073513,0.0042517185211181,Neutral,0.0
i m itchy and miserable,0.0003039836883544,0.0,1.0,7.557868957519531e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0001766681671142,1.6666666666666663,0.0001287460327148,Negativo,2.384185791015625e-07
no i m not itchy for now maybe later laughing out loud,0.000417947769165,0.8337266680969748,0.1662733319030251,0.0001773834228515,0.0,0.3325466638060503,0.6674533361939496,0.6674533361939499,0.3325466638060502,0.0,0.0001959800720214,5.749174983738907,0.0040256977081298,Neutral,2.384185791015625e-07
i love the nerdy stanford human biology videos makes me miss school,0.0004608631134033,0.8118144309147629,0.1881855690852369,0.0002176761627197,0.0,0.3763711381704742,0.6236288618295258,0.6236288618295263,0.3763711381704738,0.0,0.0001780986785888,5.5280291645417705,0.0045170783996582,Neutral,2.384185791015625e-07
has been a bit crazy with steep learning curve but lyx is really good for long docs for anything shorter it would be insane,0.0006535053253173,0.4657863145258103,0.5342136854741897,0.0003788471221923,0.0684273709483793,0.9315726290516206,0.0,0.0,0.9315726290516206,0.0684273709483793,0.000192642211914,4.968136066751791,0.0039241313934326,Neutral,2.384185791015625e-07
i m listening to p y t by danny gokey less than less than less than aww heis so amazing i less than him so much,0.000622272491455,1.0,0.0,0.0002343654632568,0.0,0.0,1.0,0.0,0.0,0.0,0.0001757144927978,8.333333333333334,0.0001165866851806,Positivo,2.384185791015625e-07
is going to sleep then on a bike ride,0.0003652572631835,0.0,0.0,0.0001235008239746,0.0,0.0,0.0,0.0,0.0,0.0,0.0001890659332275,8.333333333333334,0.0001161098480224,Positivo,2.384185791015625e-07
can not sleep my tooth is aching,0.0003349781036376,0.0,1.0,0.0001320838928222,0.0,0.0,0.0,0.0,0.0,1.0,0.0001742839813232,1.6666666666666663,9.989738464355467e-05,Negativo,0.0
blah blah blah same old same old no plans today going back to sleep i guess,0.0005207061767578,0.0,1.0,0.0002193450927734,0.0,0.0,0.0,0.0,0.0,1.0,0.0001909732818603,1.6666666666666663,9.72747802734375e-05,Negativo,0.0
glad i did not do bay to breakers today itis freaking degrees in san francisco what the fuck,0.0005393028259277,0.141820580474934,0.8581794195250659,0.0002775192260742,0.716358839050132,0.283641160949868,0.0,0.0,0.2836411609498681,0.7163588390501319,0.0001828670501708,3.685324847842272,0.0041723251342773,Neutral,2.384185791015625e-07
obama administration must stop bonuses to aig ponzi schemers,0.0004363059997558,0.7831021437578816,0.2168978562421185,0.0001852512359619,0.0,0.4337957124842369,0.5662042875157631,0.566204287515763,0.433795712484237,0.0,0.0001990795135498,5.270292893597053,0.003915786743164,Neutral,2.384185791015625e-07
started to think that citi is in really deepis amp t are they gonna survive the turmoil or are they gonna be the next aig,0.0006566047668457,0.0,1.0,0.0003015995025634,0.0,0.0,0.0,0.0,0.0,1.0,0.0002501010894775,1.6666666666666663,0.0001120567321777,Negativo,0.0
shaunwoo hate n on aig,0.0003354549407958,0.0,1.0,0.0001068115234375,0.0,0.0,0.0,0.0,0.0,1.0,0.0002970695495605,1.6666666666666663,0.0001027584075927,Negativo,0.0
you will not regret going to see star trek it was awesome,0.0004253387451171,1.0,0.0,0.0002162456512451,0.0,0.0,1.0,0.0,0.0,0.0,0.0002033710479736,8.333333333333334,9.918212890625e-05,Positivo,0.0
annoying new trend on the internets people picking apart michael lewis and malcolm gladwell nobody wants to read that,0.0006170272827148,0.0,1.0,0.0002667903900146,0.0,0.0,0.0,0.0,0.0,1.0,0.0002162456512451,1.6666666666666663,0.0001001358032226,Negativo,0.0
highly recommend by malcolm gladwell,0.0003330707550048,1.0,0.0,0.0001068115234375,0.0,0.0,1.0,0.0,0.0,0.0,0.0004162788391113,8.333333333333334,9.703636169433594e-05,Positivo,0.0
blink by malcolm gladwell amazing book and the tipping point,0.000434398651123,1.0,0.0,0.000171422958374,0.0,0.0,1.0,0.0,0.0,0.0,0.0001966953277587,8.333333333333334,9.72747802734375e-05,Positivo,2.384185791015625e-07
malcolm gladwell might be my new man crush,0.0003707408905029,0.0,1.0,0.0001435279846191,0.0,0.0,0.0,0.0,0.0,1.0,0.0001730918884277,1.6666666666666663,9.632110595703124e-05,Negativo,2.384185791015625e-07
oh my god the commercials alone on espn are going to drive me nuts,0.000455617904663,0.1822289156626506,0.8177710843373494,0.0002562999725341,0.6355421686746988,0.3644578313253012,0.0,0.0,0.3644578313253013,0.6355421686746987,0.0001990795135498,4.000503668169214,0.0041775703430175,Neutral,2.384185791015625e-07
playing with twitter api sounds fun may need to take a class or find a new friend who like to generate results with api code,0.0006625652313232,1.0,0.0,0.000335693359375,0.0,0.0,1.0,0.0,0.0,0.0,0.0001969337463378,8.333333333333334,0.0001115798950195,Positivo,0.0
hello twitter api,0.0002903938293457,0.0,0.0,7.224082946777344e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0001733303070068,8.333333333333334,0.0001165866851806,Positivo,0.0
because the twitter api is slow and most clientis aren t good,0.0004458427429199,1.0,0.0,0.0001897811889648,0.0,0.0,1.0,0.0,0.0,0.0,0.0001707077026367,8.333333333333334,9.989738464355467e-05,Positivo,2.384185791015625e-07
yahoo answers can be a butt sometimes,0.0003566741943359,0.0,0.0,0.0001001358032226,0.0,0.0,0.0,0.0,0.0,0.0,0.0001986026763916,8.333333333333334,0.0001132488250732,Positivo,0.0
is scrapbooking with nic d,0.0003328323364257,0.0,0.0,8.225440979003906e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000173807144165,8.333333333333334,9.894371032714844e-05,Positivo,0.0
five things wolfram alpha does better and vastly different than google,0.0004568099975585,1.0,0.0,0.0001988410949707,0.0,0.0,1.0,0.0,0.0,0.0,0.0001864433288574,8.333333333333334,9.846687316894533e-05,Positivo,0.0
just changed my default pic to a nike basketball cause bball is awesome,0.0004687309265136,1.0,0.0,0.0001976490020751,0.0,0.0,1.0,0.0,0.0,0.0,0.0001740455627441,8.333333333333334,9.989738464355467e-05,Positivo,0.0
was just told that nike layoffs started today,0.0003745555877685,0.0,0.0,0.000119924545288,0.0,0.0,0.0,0.0,0.0,0.0,0.0001850128173828,8.333333333333334,0.0002384185791015,Positivo,0.0
back when i worked for nike we had one fav word just do it,0.0004346370697021,1.0,0.0,0.0002174377441406,0.0,0.0,1.0,0.0,0.0,0.0,0.0001769065856933,8.333333333333334,0.0001084804534912,Positivo,2.384185791015625e-07
by the way i m totally inspired by this freaky nike commercial,0.000441551208496,0.7357543548863301,0.2642456451136699,0.0001728534698486,0.0,0.5284912902273398,0.4715087097726602,0.4715087097726602,0.5284912902273398,0.0,0.0001897811889648,4.999999999999999,0.0039327144622802,Neutral,2.384185791015625e-07
class the d is supposed to come today,0.0003559589385986,0.0,0.0,0.0001263618469238,0.0,0.0,0.0,0.0,0.0,0.0,0.0001728534698486,8.333333333333334,0.0001218318939208,Positivo,2.384185791015625e-07
needs someone to explain lambda calculus to him,0.0003786087036132,0.0,0.0,0.0001204013824462,0.0,0.0,0.0,0.0,0.0,0.0,0.00018310546875,8.333333333333334,0.0001258850097656,Positivo,2.384185791015625e-07
took the graduate field exam for computer science today nothing makes you feel like more of an idiot than lambda calculus,0.0006296634674072,0.1973164956590371,0.8026835043409629,0.0003368854522705,0.6053670086819258,0.3946329913180742,0.0,0.0,0.3946329913180741,0.6053670086819258,0.0001826286315917,4.104152395965351,0.0041258335113525,Neutral,2.384185791015625e-07
shout outs to all east palo alto for being in the buildin karizmakaze cal gta also thanks to profits of doom universal hempz cracka,0.0006697177886962,0.8798485046362805,0.1201514953637194,0.0003821849822998,0.0,0.240302990727439,0.759697009272561,0.7596970092725612,0.2403029907274388,0.0,0.0001912117004394,6.276600925099127,0.0039734840393066,Neutral,2.384185791015625e-07
yeahh i wouldn t really have lived in east palo alto if i could have avoided it i guess itis only for the summer,0.0006415843963623,0.0,1.0,0.0003180503845214,0.0,0.0,0.0,0.0,0.0,1.0,0.0001709461212158,1.6666666666666663,0.0001230239868164,Negativo,2.384185791015625e-07
great stanford course thanks for making it available to the public really helpful and informative for starting off,0.0006096363067626,1.0,0.0,0.0003175735473632,0.0,0.0,1.0,0.0,0.0,0.0,0.000187873840332,8.333333333333334,0.0001008510589599,Positivo,2.384185791015625e-07
work til pm let us go lakers,0.0003156661987304,0.0,0.0,0.0001242160797119,0.0,0.0,0.0,0.0,0.0,0.0,0.0001759529113769,8.333333333333334,9.846687316894533e-05,Positivo,0.0
damn you north korea,0.0003058910369873,0.0,1.0,7.534027099609375e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0001885890960693,1.6666666666666663,0.0001018047332763,Negativo,0.0
can we just go ahead and blow north korea off the map already,0.0004374980926513,0.0,0.0,0.0001838207244873,0.0,0.0,0.0,0.0,0.0,0.0,0.0001709461212158,8.333333333333334,9.72747802734375e-05,Positivo,0.0
north korea please cease this douchebaggery china doesn t even like you anymore,0.0004851818084716,1.0,0.0,0.0002198219299316,0.0,0.0,1.0,0.0,0.0,0.0,0.0001890659332275,8.333333333333334,9.679794311523438e-05,Positivo,0.0
why the hell is pelosi in freakin china and on whose dime,0.000422716140747,0.0,1.0,0.0002012252807617,0.0,0.0,0.0,0.0,0.0,1.0,0.0002980232238769,1.6666666666666663,0.0001122951507568,Negativo,2.384185791015625e-07
are you burning more cash than chrysler and gm stop the financial tsunami where bailout means taking a handout,0.0006000995635986,0.0,1.0,0.0002894401550292,0.0,0.0,0.0,0.0,0.0,1.0,0.0002017021179199,1.6666666666666663,0.0001015663146972,Negativo,2.384185791015625e-07
insects have infected my spinach plant,0.0003519058227539,0.0,1.0,0.0001266002655029,0.0,0.0,0.0,0.0,0.0,1.0,0.000176191329956,1.6666666666666663,0.000112771987915,Negativo,2.384185791015625e-07
wish i could catch every mosquito in the world n burn em slowly they been bitin the shit outta me day mosquitos are the assholes of insects,0.0007095336914062,0.8467382761330888,0.1532617238669112,0.0003831386566162,0.0,0.3065234477338223,0.6934765522661777,0.6934765522661777,0.3065234477338224,0.0,0.0001978874206542,5.888461639818547,0.0039021968841552,Neutral,4.76837158203125e-07
just got back from church and i totally hate insects,0.0003964900970458,0.0,1.0,0.000169038772583,0.0,0.0,0.0,0.0,0.0,1.0,0.0001733303070068,1.6666666666666663,0.0001111030578613,Negativo,2.384185791015625e-07
just got mcdonalds goddam those eggs make me sick o yeah laker up date go lakers not much of an update well itis true so suck it,0.0006790161132812,0.1667843275679491,0.8332156724320509,0.0004618167877197,0.6664313448641018,0.3335686551358982,0.0,0.0,0.3335686551358983,0.6664313448641017,0.0001866817474365,3.88725746731444,0.0044374465942382,Neutral,2.384185791015625e-07
omgg i ohhdee want mcdonalds damn i wonder if its open laughing out loud,0.000474214553833,0.7420052525876718,0.2579947474123281,0.0002357959747314,0.0,0.5159894948246564,0.4840105051753436,0.4840105051753438,0.5159894948246562,0.0,0.0001754760742187,5.000000000000001,0.0038442611694335,Neutral,2.384185791015625e-07
history exam studying ugh,0.0003736019134521,0.0,1.0,9.870529174804688e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0001897811889648,1.6666666666666663,0.0001108646392822,Negativo,2.384185791015625e-07
i hate revision itis so boring i am totally unprepared for my exam tomorrow things are not looking good,0.0007822513580322,0.0,1.0,0.0002906322479248,0.0,0.0,0.0,0.0,0.0,1.0,0.0001707077026367,1.6666666666666663,0.0001029968261718,Negativo,2.384185791015625e-07
higher physics exam tommorow not lookin forward to it much,0.0004453659057617,0.0,0.0,0.0001499652862548,0.0,0.0,0.0,0.0,0.0,0.0,0.0001821517944335,8.333333333333334,0.0001008510589599,Positivo,2.384185791015625e-07
itis a bank holiday yet i m only out of work now exam season sucks,0.0004951953887939,0.5833333333333334,0.4166666666666667,0.0002157688140869,0.0,0.8333333333333333,0.1666666666666667,0.1666666666666666,0.8333333333333334,0.0,0.0001759529113769,5.0,0.004291296005249,Neutral,2.384185791015625e-07
cheney and bush are the real culprits,0.0003752708435058,0.0,0.0,0.0001101493835449,0.0,0.0,0.0,0.0,0.0,0.0,0.0001828670501708,8.333333333333334,0.0001163482666015,Positivo,0.0
lifeis a bitch and so is dick cheney p bipart tlot tcot hhrs gop dnc,0.0004777908325195,0.0,1.0,0.0002317428588867,0.0,0.0,0.0,0.0,0.0,1.0,0.0001773834228515,1.6666666666666663,0.00010347366333,Negativo,0.0
dick cheneyis dishonest speech about torture terror and obama fred kaplan slate,0.0004942417144775,0.0,1.0,0.000227928161621,0.0,0.0,0.0,0.0,0.0,1.0,0.000227928161621,1.6666666666666663,0.0001001358032226,Negativo,0.0
the republican party is a bunch of anti abortion zealots who couldn t draw flies to a dump neal boortz just now on the radio,0.0006604194641113,0.1233183856502242,0.8766816143497758,0.0003678798675537,0.7533632286995516,0.2466367713004484,0.0,0.0,0.2466367713004484,0.7533632286995515,0.0003645420074462,3.5167739260742605,0.0038468837738037,Neutral,0.0
is twitteris connections api broken some tweets didn t make it to twitter,0.0004897117614746,0.0,1.0,0.0002150535583496,0.0,0.0,0.0,0.0,0.0,1.0,0.0001766681671142,1.6666666666666663,0.0001277923583984,Negativo,0.0
i srsly hate the stupid twitter api timeout thing soo annoying,0.0004374980926513,0.0,1.0,0.000232458114624,0.0,0.0,0.0,0.0,0.0,1.0,0.000187873840332,1.6666666666666663,0.0001013278961181,Negativo,2.384185791015625e-07
i really liked learning jquery book is worth a look too,0.000429630279541,1.0,0.0,0.000180959701538,0.0,0.0,1.0,0.0,0.0,0.0,0.0001723766326904,8.333333333333334,0.0001130104064941,Positivo,2.384185791015625e-07
very interesting ad from adobe by goodby silverstein amp partners youtube adobe cs le sens propre,0.0005397796630859,1.0,0.0,0.0002241134643554,0.0,0.0,1.0,0.0,0.0,0.0,0.0001928806304931,8.333333333333334,9.79900360107422e-05,Positivo,2.384185791015625e-07
goodby silverstein agency new site great,0.0003652572631835,1.0,0.0,0.0001227855682373,0.0,0.0,1.0,0.0,0.0,0.0,0.0001716613769531,8.333333333333334,0.0001077651977539,Positivo,0.0
goodby silversteinis new site i enjoy it nice find,0.0004100799560546,1.0,0.0,0.0001707077026367,0.0,0.0,1.0,0.0,0.0,0.0,0.0001838207244873,8.333333333333334,9.751319885253906e-05,Positivo,0.0
the ever amazing psyop and goodby silverstein amp partners for hp have to go play with after effects now,0.0005834102630615,1.0,0.0,0.0003077983856201,0.0,0.0,1.0,0.0,0.0,0.0,0.000256061553955,8.333333333333334,9.775161743164062e-05,Positivo,0.0
top ten most watched on viral video chart love the nike mostvaluablepuppets campaign from wieden amp kennedy,0.0005750656127929,1.0,0.0,0.0002691745758056,0.0,0.0,1.0,0.0,0.0,0.0,0.000190258026123,8.333333333333334,0.0001015663146972,Positivo,2.384185791015625e-07
zomg i have a g,0.0002839565277099,0.0,0.0,4.8160552978515625e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0001673698425292,8.333333333333334,9.65595245361328e-05,Positivo,0.0
ok so lots of buzz from io but how lucky are they a free g,0.0004420280456542,1.0,0.0,0.0002222061157226,0.0,0.0,1.0,0.0,0.0,0.0,0.0001876354217529,8.333333333333334,0.0001008510589599,Positivo,0.0
just got a free g android at google i o,0.0003564357757568,1.0,0.0,0.0001246929168701,0.0,0.0,1.0,0.0,0.0,0.0,0.0001735687255859,8.333333333333334,9.632110595703124e-05,Positivo,0.0
guess i ll be retiring my g and start using my developer g woot googleio,0.0004887580871582,1.0,0.0,0.000199556350708,0.0,0.0,1.0,0.0,0.0,0.0,0.0001919269561767,8.333333333333334,0.0001113414764404,Positivo,4.76837158203125e-07
i am happy for philip being at googleio today,0.0003812313079833,1.0,0.0,0.0001306533813476,0.0,0.0,1.0,0.0,0.0,0.0,0.0001742839813232,8.333333333333334,9.679794311523438e-05,Positivo,0.0
lakers played great can not wait for thursday night lakers vs,0.0004339218139648,1.0,0.0,0.0001740455627441,0.0,0.0,1.0,0.0,0.0,0.0,0.0001864433288574,8.333333333333334,9.584426879882812e-05,Positivo,0.0
judd apatow creates fake sitcom on nbc com to market his new movie viral marketing at its best,0.0005407333374023,0.8555011946751622,0.1444988053248378,0.0002858638763427,0.0,0.2889976106496756,0.7110023893503243,0.7110023893503243,0.2889976106496756,0.0,0.0001783370971679,5.986124122190393,0.0040986537933349,Neutral,0.0
viral marketing fail this acia pills brand oughta get shut down for hacking into peopleis messengeris i get msgs in a day arrgh,0.0006654262542724,0.0,1.0,0.0002961158752441,0.0,0.0,0.0,0.0,0.0,1.0,0.0001895427703857,1.6666666666666663,0.0001115798950195,Negativo,0.0
watching night at the museum laughing my ass off,0.0003938674926757,0.4132815259625574,0.5867184740374426,0.0001840591430664,0.1734369480748852,0.8265630519251148,0.0,0.0,0.8265630519251148,0.1734369480748852,0.0001773834228515,4.918018586523354,0.0038776397705078,Neutral,0.0
i loved night at the museum,0.0003185272216796,1.0,0.0,8.749961853027344e-05,0.0,0.0,1.0,0.0,0.0,0.0,0.0001852512359619,8.333333333333334,0.000115156173706,Positivo,2.384185791015625e-07
just got back from the movies went to see the new night at the museum with rachel it was good,0.0005934238433837,1.0,0.0,0.0002753734588623,0.0,0.0,1.0,0.0,0.0,0.0,0.0001733303070068,8.333333333333334,0.0001037120819091,Positivo,4.76837158203125e-07
i will take you on a date to see night at the museum whenever you want it looks soo good,0.0005607604980468,1.0,0.0,0.0002708435058593,0.0,0.0,1.0,0.0,0.0,0.0,0.0001852512359619,8.333333333333334,9.942054748535156e-05,Positivo,2.384185791015625e-07
no watching the night at the museum getting really good,0.0004115104675292,0.7478474784747847,0.2521525215252153,0.0001711845397949,0.0,0.5043050430504306,0.4956949569495694,0.4956949569495694,0.5043050430504306,0.0,0.0001802444458007,5.0,0.0041079521179199,Neutral,2.384185791015625e-07
night at the museum wolverine and junk food perfect monday,0.0004107952117919,1.0,0.0,0.0002427101135253,0.0,0.0,1.0,0.0,0.0,0.0,0.0001711845397949,8.333333333333334,0.0001261234283447,Positivo,2.384185791015625e-07
saw night at the museum last night pretty crazy movie but the cast was awesome so it was well worth it robin williams forever,0.0006647109985351,0.9628804751299184,0.0371195248700816,0.0003798007965087,0.0,0.0742390497401632,0.9257609502598368,0.9257609502598368,0.0742390497401632,0.0,0.0001776218414306,7.539450128261717,0.0038971900939941,Positivo,2.384185791015625e-07
night at the museum tonite instead of up oh well that yr old better enjoy it laughing out loud,0.0005943775177001,1.0,0.0,0.0003190040588378,0.0,0.0,1.0,0.0,0.0,0.0,0.0001759529113769,8.333333333333334,0.0001187324523925,Positivo,0.0
itis unfortunate that after the stimulus plan was put in place twice to help gm on the back of the american people has led to the inevitable,0.0007081031799316,0.3343465045592705,0.6656534954407296,0.0003893375396728,0.331306990881459,0.668693009118541,0.0,0.0,0.6686930091185408,0.3313069908814592,0.0001790523529052,4.726571264443633,0.0045499801635742,Neutral,2.384185791015625e-07
tell me again why we are giving more to gm we should use that for all the programs that support the unemployed,0.0006229877471923,1.0,0.0,0.0003139972686767,0.0,0.0,1.0,0.0,0.0,0.0,0.0001733303070068,8.333333333333334,0.0001146793365478,Positivo,0.0
oh yes but if gm dies it will only be worth more boo hahaha,0.0004332065582275,1.0,0.0,0.0002367496490478,0.0,0.0,1.0,0.0,0.0,0.0,0.0001742839813232,8.333333333333334,0.0001015663146972,Positivo,2.384185791015625e-07
