oraciones,puntaje_positivo,puntaje_negativo,puntaje_sentimiento
work til pm let us go lakers,0.0,0.0,8.333333333333334
damn you north korea,0.0,1.0,1.6666666666666663
can we just go ahead and blow north korea off the map already,0.0,0.0,8.333333333333334
north korea please cease this douchebaggery china doesn t even like you anymore,1.0,0.0,8.333333333333334
why the hell is pelosi in freakin china and on whose dime,0.0,1.0,1.6666666666666663
are you burning more cash than chrysler and gm stop the financial tsunami where bailout means taking a handout,0.0,1.0,1.6666666666666663
insects have infected my spinach plant,0.0,1.0,1.6666666666666663
wish i could catch every mosquito in the world n burn em slowly they been bitin the shit outta me day mosquitos are the assholes of insects,0.8467382761330888,0.1532617238669112,5.888461639818547
just got back from church and i totally hate insects,0.0,1.0,1.6666666666666663
just got mcdonalds goddam those eggs make me sick o yeah laker up date go lakers not much of an update well itis true so suck it,0.1667843275679491,0.8332156724320509,3.88725746731444
omgg i ohhdee want mcdonalds damn i wonder if its open laughing out loud,0.7420052525876718,0.2579947474123281,5.000000000000001
history exam studying ugh,0.0,1.0,1.6666666666666663
i hate revision itis so boring i am totally unprepared for my exam tomorrow things are not looking good,0.0,1.0,1.6666666666666663
higher physics exam tommorow not lookin forward to it much,0.0,0.0,8.333333333333334
itis a bank holiday yet i m only out of work now exam season sucks,0.5833333333333334,0.4166666666666667,5.0
cheney and bush are the real culprits,0.0,0.0,8.333333333333334
lifeis a bitch and so is dick cheney p bipart tlot tcot hhrs gop dnc,0.0,1.0,1.6666666666666663
dick cheneyis dishonest speech about torture terror and obama fred kaplan slate,0.0,1.0,1.6666666666666663
the republican party is a bunch of anti abortion zealots who couldn t draw flies to a dump neal boortz just now on the radio,0.1233183856502242,0.8766816143497758,3.5167739260742605
is twitteris connections api broken some tweets didn t make it to twitter,0.0,1.0,1.6666666666666663
i srsly hate the stupid twitter api timeout thing soo annoying,0.0,1.0,1.6666666666666663
i really liked learning jquery book is worth a look too,1.0,0.0,8.333333333333334
very interesting ad from adobe by goodby silverstein amp partners youtube adobe cs le sens propre,1.0,0.0,8.333333333333334
goodby silverstein agency new site great,1.0,0.0,8.333333333333334
goodby silversteinis new site i enjoy it nice find,1.0,0.0,8.333333333333334
the ever amazing psyop and goodby silverstein amp partners for hp have to go play with after effects now,1.0,0.0,8.333333333333334
top ten most watched on viral video chart love the nike mostvaluablepuppets campaign from wieden amp kennedy,1.0,0.0,8.333333333333334
zomg i have a g,0.0,0.0,8.333333333333334
ok so lots of buzz from io but how lucky are they a free g,1.0,0.0,8.333333333333334
just got a free g android at google i o,1.0,0.0,8.333333333333334
guess i ll be retiring my g and start using my developer g woot googleio,1.0,0.0,8.333333333333334
i am happy for philip being at googleio today,1.0,0.0,8.333333333333334
lakers played great can not wait for thursday night lakers vs,1.0,0.0,8.333333333333334
judd apatow creates fake sitcom on nbc com to market his new movie viral marketing at its best,0.8555011946751622,0.1444988053248378,5.986124122190393
viral marketing fail this acia pills brand oughta get shut down for hacking into peopleis messengeris i get msgs in a day arrgh,0.0,1.0,1.6666666666666663
watching night at the museum laughing my ass off,0.4132815259625574,0.5867184740374426,4.918018586523354
i loved night at the museum,1.0,0.0,8.333333333333334
just got back from the movies went to see the new night at the museum with rachel it was good,1.0,0.0,8.333333333333334
i will take you on a date to see night at the museum whenever you want it looks soo good,1.0,0.0,8.333333333333334
no watching the night at the museum getting really good,0.7478474784747847,0.2521525215252153,5.0
night at the museum wolverine and junk food perfect monday,1.0,0.0,8.333333333333334
saw night at the museum last night pretty crazy movie but the cast was awesome so it was well worth it robin williams forever,0.9628804751299184,0.0371195248700816,7.539450128261717
night at the museum tonite instead of up oh well that yr old better enjoy it laughing out loud,1.0,0.0,8.333333333333334
itis unfortunate that after the stimulus plan was put in place twice to help gm on the back of the american people has led to the inevitable,0.3343465045592705,0.6656534954407296,4.726571264443633
tell me again why we are giving more to gm we should use that for all the programs that support the unemployed,1.0,0.0,8.333333333333334
oh yes but if gm dies it will only be worth more boo hahaha,1.0,0.0,8.333333333333334
time warner cable is down again rd time since memorial day bummer,0.0,1.0,1.6666666666666663
i would rather pay reasonable yearly taxes for free fast internet than get gouged by time warner for a slow connection,0.9011256464861576,0.0988743535138424,6.558186136714837
noo my dvr just died and i was only half way through the ea presser hate you time warner,0.0,1.0,1.6666666666666663
f ck time warner cable you f cking suck balls i have a hd tv amp my damn hd channels hardly ever come in bullshit,0.0,1.0,1.6666666666666663
time warner has the worse customer service ever i will never use them again,0.0,1.0,1.6666666666666663
time warner is the devil worst possible time for the internet to go out,0.0,1.0,1.6666666666666663
fuck no internet damn time warner,0.0,1.0,1.6666666666666663
time warner really picks the worst time to not work all i want to do is get to mtv com so i can watch the hills wtff,0.0,1.0,1.6666666666666663
i hate time warner soo wish i had vios can not watch the fricken mets game w o buffering i feel like i am watching free internet porn,0.8757450247499747,0.1242549752500252,6.22546270686521
ahh got rid of stupid time warner today amp now taking a nap while the roomies cook for me pretty good end for a monday,0.8411382787677856,0.1588617212322144,5.827715652678359
time warneris hd line up is crap,0.0,1.0,1.6666666666666663
is being fucked by time warner cable did not know modems could explode and susan boyle sucks too,0.0,1.0,1.6666666666666663
time warner cable slogan where calling it a day at pm happens,0.0,0.0,8.333333333333334
recovering from surgery wishing was here,1.0,0.0,8.333333333333334
my wrist still hurts i have to get it looked at i hate the dr dentist scary places time to watch eagle eye if you want to join text,0.0825963624228266,0.9174036375771734,3.075876636169483
the dentist lied you won t feel any discomort prob won t even need pain pills man you twippin this shit hurt how many pills can i take,0.1473986136562823,0.8526013863437176,3.73275109652346
my dentist is great but sheis expensive,1.0,0.0,8.333333333333334
is studing math tomorrow exam and dentist,0.0,0.0,8.333333333333334
my dentist was wrong wrong,0.0,1.0,1.6666666666666663
going to the dentist later,0.0,0.0,8.333333333333334
son has me looking at cars online i hate car shopping would rather go to the dentist anyone with a good car at a good price to sell,0.7962382445141065,0.2037617554858934,5.382167807194214
luke and i got stopped walking out of safeway and asked to empty our pockets and lift our shirts how jacked up is that,0.0,1.0,1.6666666666666663
safeway is very rock n roll tonight,0.0,0.0,8.333333333333334
the safeway bathroom still smells like ass,0.2855345911949685,0.7144654088050315,4.560829091795721
at safeway on elkhorn they move like they re dead,0.1917186613726602,0.8082813386273398,4.066427563856082
i love dwight howardis vitamin water commercial now i wish he was with nike and not adidas laughing out loud,0.9158346398217674,0.0841653601782325,6.765416248268581
found nothing at nike factory off to banana republic outlet,0.0,0.0,8.333333333333334
is lovin his nike already and thatis only from running on the spot in his bedroom,0.0,0.0,8.333333333333334
i finally got around to using jquery to make my bio collapse yay for slide animations,0.5794633642930856,0.4205366357069143,5.000000000000002
right laughing out loud we ll get there i have high expectations warren buffet style,1.0,0.0,8.333333333333334
great someoneis sitting in the shade today because someone planted a tree a long time ago warren buffet,1.0,0.0,8.333333333333334
warren buffet became for a time the richest man in the united states not by working but investing in big idea which lead to the fortune,1.0,0.0,8.333333333333334
according to the create a school notre dame will have receivers in ncaa at or higher rating sweet,1.0,0.0,8.333333333333334
itis definitely under warranty amp my experience is the amazon support for kindle is great had to contact them about my kindle,1.0,0.0,8.333333333333334
time warner road runner customer support here absolutely blows i hate not having other high speed net options i m ready to go nuclear,0.629535650850038,0.3704643491499619,5.000000000000001
time warner cable phone reps r dumber than nails ugh cable was working mins ago now its not what the fuck,0.1675066706196264,0.8324933293803736,3.892733986353962
we tried but time warner wasn t being nice so we recorded today,1.0,0.0,8.333333333333334
oh my god time warner f ed up my internet install instead of today its now next saturday another week w o internet amp ehfa v fhg fml,1.0,0.0,8.333333333333334
wth i have never seen a line this loong at time warner before ugh,0.0,1.0,1.6666666666666663
impatiently awaiting the arrival of the time warner guy itis way too pretty to be inside all afternoon,0.6901763224181361,0.3098236775818639,5.0
naive bayes using em for text classification really frustrating,0.0,1.0,1.6666666666666663
we went to stanford university today got a tour made me want to go back to college itis also decided all of our kids will go there,1.0,0.0,8.333333333333334
if you re being harassed by calls about your car warranty changing your number won t fix that they call every number d bags,0.773095623987034,0.2269043760129659,5.187026542176831
just blocked united blood services using google voice they call more than those car warranty guys,0.7459372854200046,0.2540627145799954,5.0
at amp t is complete fail,0.0,1.0,1.6666666666666663
oh snap you work at at amp t don t you,0.0,0.0,8.333333333333334
i really do not want at amp t phone service they suck when it comes to having a signal,0.0,1.0,1.6666666666666663
i say we just cut out the small talk at amp tis new slogan fk you give us your money apologies to bob geldof,0.0,1.0,1.6666666666666663
pissed about at amp tis mid contract upgrade price for the iphone itis more i m not going to pay for something i thought was,0.0625076602524819,0.937492339747518,2.8158518989298003
safari is fast even on my shitty at amp t tethering,0.0,1.0,1.6666666666666663
what is at amp t fucking up,0.0,0.0,8.333333333333334
at amp t dropped the ball and isn t supporting crap with the new iphone fail att sucks,0.1042549584675368,0.8957450415324631,3.3216014606481474
yay glad you got the phone still damn you at amp t,0.856871093396141,0.143128906603859,6.001694815626888
talk is cheap bing that i ll stick with google,0.0,0.0,8.333333333333334
what the fuck is the point of deleting tweets if they can still be found in summize and searches twitter please fix that thanks and bye,0.7565833148926754,0.2434166851073246,5.052672057404363
i love google translator too d good day mate,1.0,0.0,8.333333333333334
reading on my new kindle,0.0,0.0,8.333333333333334
my kindle came and i love it,1.0,0.0,8.333333333333334
loving my new kindle named her kendra in case you we are wondering the cookbook is the tool cuz it tells you all the tricks best gift evr,0.9666802112962212,0.0333197887037789,7.611587566805761
the real aig scandal,0.0,1.0,1.6666666666666663
obama is quite a good comedian check out his dinner speech on cnn very funny jokes,1.0,0.0,8.333333333333334
barack obama shows his funny side gt gt great speech,1.0,0.0,8.333333333333334
i like this guy barack obama shows his funny side gt gt,1.0,0.0,8.333333333333334
obamais speech was pretty awesome last night,1.0,0.0,8.333333333333334
reading bill clinton fail obama win,0.5713495575221239,0.428650442477876,5.000000000000001
obama more popular than youis among arabs survey president barack obamais popularity in leading arab countries,1.0,0.0,8.333333333333334
obamais got jokes haha just got to watch a bit of his after dinner speech from last night i m in love with mr president,1.0,0.0,8.333333333333334
lebron james got in a car accident i guess just heard it on evening news wow i can not believe it will he be ok,0.8560962846677133,0.1439037153322867,5.992877701877773
is it me or is this the best the playoffs have been in years oh yea lebron and melo in the finals,1.0,0.0,8.333333333333334
no lebron is the best,0.7947008247060888,0.2052991752939112,5.3689075108488185
lebron is cool i like his personality he has good character,1.0,0.0,8.333333333333334
watching lebron highlights damn that niggas good,0.2512980269989616,0.7487019730010385,4.410587028693615
lebron is murdering shit,0.0,1.0,1.6666666666666663
lebron is a monsta and he is only shaking my head the world ain t ready,0.7723823975720789,0.2276176024279211,5.181149050966454
when lebron is done in the nba he will probably be greater than kobe like you said kobe is good but there alot of good players,1.0,0.0,8.333333333333334
kobe is good bt lebron has my vote,1.0,0.0,8.333333333333334
kobe is the best in the world not lebron,1.0,0.0,8.333333333333334
world cup access damn thatis a good look,0.5607991732690321,0.4392008267309679,5.000000000000001
just bought my tickets for the fifa world cup in south africa its going to be a great summer,1.0,0.0,8.333333333333334
i have to go to booz allen hamilton for a hr meeting but then i get to go home,0.0,0.0,8.333333333333334
the great indian tamasha truly will unfold from may the result day for indian general election,1.0,0.0,8.333333333333334
i have the kindle i ve seen pictures of the dx but haven t seen it in person i love my kindle i m on it everyday,0.9034222128910352,0.0965777871089649,6.589683715554294
such an awesome idea the continual learning program with a kindle,1.0,0.0,8.333333333333334
ooh what model are you getting i have the d and love love love love it,1.0,0.0,8.333333333333334
the times of india the wonder that is indiais election,0.0,0.0,8.333333333333334
good video from google on using search options,1.0,0.0,8.333333333333334
laughing out loud ah my skin is itchy damn lawnmowing,0.3104503716659378,0.6895496283340621,4.655712114666679
itchy back do not ya hate it,0.7154193460117663,0.2845806539882337,5.000000000000002
stanford charity fashion show a top draw,1.0,0.0,8.333333333333334
stanford universityis facebook profile is one of the most popular official university pages,1.0,0.0,8.333333333333334
lyx is cool,1.0,0.0,8.333333333333334
soo dissapointed they sent danny gokey home you still rock danny my hometown hero yeah milrockee,1.0,0.0,8.333333333333334
american idol fashion adam lambert tones down danny gokey cute,1.0,0.0,8.333333333333334
i love you danny gokey,1.0,0.0,8.333333333333334
so tired i didn t sleep well at all last night,0.2433817250213492,0.7566182749786508,4.36908006121121
boarding plane for san francisco in hour hr flight blech,0.0,0.0,8.333333333333334
bonjour san francisco my back hurts from last night,0.0,1.0,1.6666666666666663
with my best girl for a few more hours in san francisco mmfamily is wonderful,1.0,0.0,8.333333333333334
f up big or go home aig,0.0,0.0,8.333333333333334
went to see the star trek movie last night very satisfying,1.0,0.0,8.333333333333334
i can t wait going to see star trek tonight,0.0,0.0,8.333333333333334
star trek was as good as everyone said,1.0,0.0,8.333333333333334
am loving new malcolm gladwell book outliers,1.0,0.0,8.333333333333334
i highly recommend malcolm gladwellis the tipping point my next audiobook will probably be one of his as well,1.0,0.0,8.333333333333334
malcolm gladwell is a genius at tricking people into not realizing heis a fucking idiot,0.0833035820540283,0.9166964179459716,3.084388558315518
hey no offense but malcolm gladwell is a pretenious annoying cunt and he brings you down can not read his shit,0.1064788270947661,0.8935211729052339,3.345665081102822
great article by malcolm gladwell,1.0,0.0,8.333333333333334
i seriously underestimated malcolm gladwell i want to meet this dude,0.1426481346013167,0.8573518653986832,3.6924527761494295
i hate comcast right now everything is down cable internet amp phone ughh what am i to do,0.0,1.0,1.6666666666666663
comcast sucks,0.0,1.0,1.6666666666666663
the day i never have to deal with comcast again will rank as one of the best days of my life,1.0,0.0,8.333333333333334
did comcast fail again,0.0,1.0,1.6666666666666663
curses the twitter api limit,0.0,0.0,8.333333333333334
now i can see why dave winer screams about lack of twitter api its limitations and access throttles,0.0,1.0,1.6666666666666663
arg twitter api is making me crazy,0.0,1.0,1.6666666666666663
i m really loving the new search site wolfram alpha makes google seem so quaint,1.0,0.0,8.333333333333334
wolfram alpha sucks even for researchers the information provided is less than you can get from google or wikipedia totally useless,0.0,1.0,1.6666666666666663
off to the nike factory,0.0,0.0,8.333333333333334
new nike muppet commercials are pretty cute why do we live together again,1.0,0.0,8.333333333333334
oh those are awesome i so wish they weren t owned by nike,1.0,0.0,8.333333333333334
awesome seeing the show friday at the shoreline amphitheatre never seen nin before can t wait,1.0,0.0,8.333333333333334
arhh itis weka bug and i spent almost two hours to find that out crappy me,0.0,1.0,1.6666666666666663
hey bud no problem i do so love my d although i d love a d mkii more,0.8353909465020576,0.1646090534979424,5.766633950555403
just got us a d for the office d,0.0,0.0,8.333333333333334
just picked up my new canon d itis beautiful prepare for some seriously awesome photography,0.9357064450368512,0.0642935549631488,7.068800985845758
just got my new toy canon d love love love it,1.0,0.0,8.333333333333334
learning about lambda calculus,0.0,0.0,8.333333333333334
i m moving to east palo alto,0.0,0.0,8.333333333333334
atebits i just finished watching your stanford iphone class session i really appreciate it you rock,1.0,0.0,8.333333333333334
hi just saw your stanford talk and really liked your advice just saying hi from singapore yes the videos do get around,1.0,0.0,8.333333333333334
lakers tonight letis go,0.0,0.0,8.333333333333334
will the lakers kick the nuggets ass tonight,0.0,1.0,1.6666666666666663
ooh north korea is in troublee,0.0,0.0,8.333333333333334
wat the heck is north korea doing they just conducted powerful nuclear tests follow the link,1.0,0.0,8.333333333333334
listening to obama friggin north korea,0.0,0.0,8.333333333333334
i just realized we three monkeys in the white obama biden pelosi sarah palin,0.0,0.0,8.333333333333334
pelosi should stay in china and never come back,0.0,0.0,8.333333333333334
nancy pelosi gave the worst commencement speech i ve ever heard yes i m still bitter about this,0.1156443704320473,0.8843556295679527,3.441117094287451
ugh the amount of times these stupid insects have bitten me grr,0.0,1.0,1.6666666666666663
prettiest insects ever pink katydids,1.0,0.0,8.333333333333334
just got barraged by a horde of insects hungry for my kitchen light so scary,0.0,1.0,1.6666666666666663
just had mcdonalds for dinner d it was good big mac meal,1.0,0.0,8.333333333333334
ahh yes laughing out loud ima tell my hubby to go get me sum mcdonalds,1.0,0.0,8.333333333333334
stopped to have lunch at mcdonalds chicken nuggetss yummy,0.8053589484327603,0.1946410515672396,5.465690421476128
could go for a lot of mcdonalds i mean a lot,0.0,0.0,8.333333333333334
my exam went good your prayers worked,1.0,0.0,8.333333333333334
only one exam left and i am so happy for it d,1.0,0.0,8.333333333333334
math review i am going to fail the exam,0.0,1.0,1.6666666666666663
colin powell rocked yesterday on cbs cheney needs to shut the hell up and go home powell is a man of honor and served our country proudly,0.786624203821656,0.2133757961783439,5.299984266425036
obviously not siding with cheney here,0.0,0.0,8.333333333333334
absolutely hilarious from,1.0,0.0,8.333333333333334
i never did thank you for including me in your top twitter authors you rock amp i new wave d,0.3312412831241283,0.6687587168758716,4.71760627646373
awesome jquery reference book for coda webdesign,1.0,0.0,8.333333333333334
i ve been sending e mails like crazy today to my contacts does anyone have a contact at goodby silverstein i d love to speak to them,0.912515438452038,0.0874845615479621,6.717476347495805
goodby silversteinis new site i enjoy it,1.0,0.0,8.333333333333334
wow everyone at the google i o conference got free gis with a month of unlimited service,1.0,0.0,8.333333333333334
dood i got a free google android phone at the i o conference the g,1.0,0.0,8.333333333333334
the g is amazing by the way a huge improvement over the g,1.0,0.0,8.333333333333334
html demos lots of great stuff to come yes i m excited io googleio,1.0,0.0,8.333333333333334
yay happy place place place i love google,1.0,0.0,8.333333333333334
googleio o d bringing d graphics to the browser very nice to be honest funfun,1.0,0.0,8.333333333333334
awesome viral marketing for funny people,1.0,0.0,8.333333333333334
saw night at the museum out of sheer desperation who is funding these movies,0.0,1.0,1.6666666666666663
night at the museum pretty furkin good,1.0,0.0,8.333333333333334
watching night at the museum giggling,1.0,0.0,8.333333333333334
back from seeing star trek and night at the museum star trek was amazing but night at the museum was eh,1.0,0.0,8.333333333333334
just watched night at the museum so stinkin cute,1.0,0.0,8.333333333333334
so night at the museum was awesome much better than part next weekend we ll see up,1.0,0.0,8.333333333333334
saw the new night at the museum and i loved it next is to go see up in d,1.0,0.0,8.333333333333334
it is a shame about gm what if they are forced to make only cars the white house thinks will sell what do you think,0.0,1.0,1.6666666666666663
as you may have noticed not too happy about the gm situation nor aig lehman et al,0.0,1.0,1.6666666666666663
gm good riddance sad though,0.4487179487179487,0.5512820512820512,4.952124161515192
i will never buy a government motors vehicle until just recently i drove gm cars since when i bought a,0.0,0.0,8.333333333333334
having the old coca cola guy on the gm board is stupid has heck tcot ala,0.0,1.0,1.6666666666666663
rantsandraves the worst thing about gm concord pleasant hill martinez is the fucking uaw,0.2914452254414538,0.7085547745585462,4.5863438354627455
give a man a fish you feed him for the day teach him to fish you feed him for life buy him gm and you f k him over for good,1.0,0.0,8.333333333333334
the more i hear about this gm thing the more angry i get billions wasted more bullshit all for something like k employees and all the,0.0607255520504731,0.9392744479495267,2.790908204046278
i own a gm car and it is junk as far as quality compared to a honda,0.0,0.0,8.333333333333334
sad day bankrupt gm,0.0,1.0,1.6666666666666663
is upset about the whole gm thing life as i know it is so screwed up,0.0,1.0,1.6666666666666663
whoever is running time warner needs to be repeatedly raped by a rhino so they understand the consequences of putting out shitty cable svcs,0.0,1.0,1.6666666666666663
wftb joining a bit late my connection was down boo time warner,0.0,0.0,8.333333333333334
cox or time warner cox is cheaper and gets a b on dslreports tw is more expensive and gets a c,0.0,0.0,8.333333333333334
i am furious with time warner and their phone promotions,0.0,1.0,1.6666666666666663
just got home from chick fil a with the boys damn my internets down stupid time warner,0.0,1.0,1.6666666666666663
could time warner cable suck more no,0.0,1.0,1.6666666666666663
pissed at time warner for causin me to have slow internet problems,0.0,1.0,1.6666666666666663
umm having some time warner problems,0.0,1.0,1.6666666666666663
you guys see this why does time warner have to suck so much ass really wish i could get you verse at my apartment,0.1127483813351194,0.8872516186648806,3.411582750739869
the upside to time warner unhelpful phone operators superslow on site service crap thatis not an upside,0.0,1.0,1.6666666666666663
new time warner slogan time warner where we make you long for the days before cable,0.0,0.0,8.333333333333334
confirmed itis time warneris fault not facebookis that fb is taking about minutes to load so tempted to switch to verizon,0.0,1.0,1.6666666666666663
time warner epic fail,0.0,1.0,1.6666666666666663
i know how sad is that st day of hurricane season thatis less scarey than govt taking over gm,0.0,1.0,1.6666666666666663
gm files bankruptcy not a good sign,0.0,1.0,1.6666666666666663
yankees won mets lost its a good day,0.8670252502614673,0.1329747497385328,6.119852176060199
my dentist appt today was actually quite enjoyable,1.0,0.0,8.333333333333334
i hate the effing dentist,0.0,1.0,1.6666666666666663
i hate going to the dentist,0.0,1.0,1.6666666666666663
i hate the dentist who invented them anyways,0.0,1.0,1.6666666666666663
this dentistis office is cold,0.0,0.0,8.333333333333334
just applied at safeway yee,0.0,0.0,8.333333333333334
safeway place is a nightmare right now bumming,0.0,0.0,8.333333333333334
hate safeway select green tea icecream bought two cartons what a waste of money gt less than,0.091708423938735,0.908291576061265,3.182595535110711
nike rocks i m super grateful for what i ve done with them amp the european division of nike is beyond,1.0,0.0,8.333333333333334
have you tried nike v addictive,0.0,0.0,8.333333333333334
the nike training club beta iphone app looks very interesting,1.0,0.0,8.333333333333334
argghh why won t my jquery appear in safari bad safari,0.5615707205489897,0.4384292794510103,5.000000000000001
i m ready to drop the pretenses i am forever in love with jquery and i want to marry it sorry ladies this nerd is jquery spokenfor js,0.814989024772656,0.185010975227344,5.55912734922306
super investors a great weekend read here from warren buffet oldie but a goodie,1.0,0.0,8.333333333333334
reading michael palin book the python years great book i also recommend warren buffet amp nelson mandelais bio,1.0,0.0,8.333333333333334
i mean i m down with notre dame if i have to itis a good school i d be closer to dan i d enjoy it,1.0,0.0,8.333333333333334
i can t watch tv without a tivo and after all these years the time warner dvr still sucks,0.0,1.0,1.6666666666666663
i d say some sports writers are idiots for saying roger federer is one of the best ever in tennis roger federer is the best ever in tennis,1.0,0.0,8.333333333333334
i still love my kindle but reading the new york times on it does not feel natural i miss the bloomingdale ads,0.7490391137237169,0.2509608862762831,5.0
i love my kindle no more stacks of books to trip over on the way to the loo,0.8640802322512536,0.1359197677487463,6.085070292017779
although todayis keynote rocked for every great announcement at amp t shit on us just a little bit more,0.6602564102564102,0.3397435897435897,5.000000000000001
